timestamp,environment,policy_version,opponent_name,opponent_version,opponent_kind,change_type,split,seed_start,seed_stop_exclusive,episodes,mean,std,median,min,max,wins,losses,draws,win_rate,life_difference_mean,environment_steps,wall_clock_seconds,pass_fail,tests_pass_fail,git_commit,diff_identifier,agent_iterations,code_edits,change_summary,failure_analysis,next_hypothesis
2026-05-24T18:29:25+00:00,SlimeVolley-v0,initial,builtin,slimevolleygym-baseline-rnn,built-in baseline,evaluation-harness change,smoke,0,2,2,,,,,,0,0,0,,,0,0.000134,fail,not_recorded,088c70f,bd7dd47b5924,1,5,Attempt SlimeVolley initial-vs-builtin smoke evaluation before optional legacy dependencies are installed.,SlimeVolleyDependencyError: SlimeVolley requires optional legacy dependencies: gym and slimevolleygym. Current status: ModuleNotFoundError: No module named 'gym',"Install the legacy SlimeVolley stack, rerun doctor, then repeat this exact smoke evaluation."
2026-05-24T18:35:40+00:00,SlimeVolley-v0,initial,builtin,slimevolleygym-baseline-rnn,built-in baseline,evaluation-harness change,smoke,0,2,2,-5,0,-5,-5,-5,0,2,0,0.0,-5.0,1327,0.224882,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for initial against builtin on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:40+00:00,SlimeVolley-v0,initial,random,v0,random policy,evaluation-harness change,smoke,0,2,2,2,3,2,-1,5,1,1,0,0.5,2.0,1200,0.063283,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for initial against random on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:40+00:00,SlimeVolley-v0,initial,initial,v0,frozen heuristic,evaluation-harness change,smoke,0,2,2,0,2,0,-2,2,1,1,0,0.5,0.0,1605,0.077602,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for initial against initial on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:40+00:00,SlimeVolley-v0,initial,improved-v0,v0,archived heuristic,evaluation-harness change,smoke,0,2,2,-0.5,1.5,-0.5,-2,1,1,1,0,0.5,-0.5,1655,0.077542,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for initial against improved-v0 on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:40+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,evaluation-harness change,smoke,0,2,2,-5,0,-5,-5,-5,0,2,0,0.0,-5.0,1287,0.063648,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for improved against builtin on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:40+00:00,SlimeVolley-v0,improved,random,v0,random policy,evaluation-harness change,smoke,0,2,2,2,3,2,-1,5,1,1,0,0.5,2.0,1186,0.067229,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for improved against random on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:41+00:00,SlimeVolley-v0,improved,initial,v0,frozen heuristic,evaluation-harness change,smoke,0,2,2,0,2,0,-2,2,1,1,0,0.5,0.0,1612,0.077496,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for improved against initial on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:35:41+00:00,SlimeVolley-v0,improved,improved-v0,v0,archived heuristic,evaluation-harness change,smoke,0,2,2,-0.5,1.5,-0.5,-2,1,1,1,0,0.5,-0.5,1659,0.083134,pass,not_recorded,088c70f,83489c06c238,2,6,Real SlimeVolley smoke evaluation for improved against improved-v0 on fixed smoke seeds after installing the legacy dependency stack.,No failure observed.,Use this smoke matrix to identify obvious opponent-protocol or policy failures before any development-seed tuning.
2026-05-24T18:36:43+00:00,SlimeVolley-v0,random,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,0,20,20,-4.9,0.3,-5,-5,-4,0,20,0,0.0,-4.9,11423,0.74767,pass,not_recorded,088c70f,64f3c80701de,2,7,Real SlimeVolley development-seed evaluation for random against builtin on fixed seeds 0..19.,No failure observed.,Compare policy and opponent-pool aggregates before proposing any structural SlimeVolley policy change.
2026-05-24T18:36:44+00:00,SlimeVolley-v0,random,random,v0,random policy,logging/diagnostics change,dev,0,20,20,-0.15,2.61295,0,-5,4,10,10,0,0.5,-0.15,12947,0.703543,pass,not_recorded,088c70f,64f3c80701de,2,7,Real SlimeVolley development-seed evaluation for random against random on fixed seeds 0..19.,No failure observed.,Compare policy and opponent-pool aggregates before proposing any structural SlimeVolley policy change.
