timestamp,environment,policy_version,opponent_name,opponent_version,opponent_kind,change_type,split,seed_start,seed_stop_exclusive,episodes,mean,std,median,min,max,wins,losses,draws,win_rate,life_difference_mean,environment_steps,wall_clock_seconds,pass_fail,tests_pass_fail,git_commit,diff_identifier,agent_iterations,code_edits,change_summary,failure_analysis,next_hypothesis
2026-05-26T06:33:11+00:00,SlimeVolley-v0,temporal,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,9000,9010,10,-4.8,0.4,-5,-5,-4,0,10,0,0.0,-4.8,23510,2.158623,pass,pass,088c70f,0be12d79ab11,1,5,"Generation-4 temporal stacked-history candidate: contact-flip features, finite-difference trajectory signals, and jump cooldown.",First temporal development trial; no failure observed yet.,Compare temporal against current improved on the generation-4 development opponent pool before any promotion.
2026-05-26T06:33:30+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,evaluation-harness change,dev,9000,9010,10,-3.9,1.04403,-4,-5,-2,0,10,0,0.0,-3.9,27055,1.868898,pass,pass,088c70f,0be12d79ab11,1,0,Generation-4 same-seed current-improved control for temporal stacked-history comparison; no policy code changed.,Control run for temporal trial; compare score and point-event traces before revising.,"If temporal underperforms current improved, inspect traces for overactive cooldown or recovery guards."
2026-05-26T06:34:58+00:00,SlimeVolley-v0,temporal,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,9000,9010,10,-4.8,0.4,-5,-5,-4,0,10,0,0.0,-4.8,23092,2.048717,pass,pass,088c70f,0be12d79ab11,2,7,Revise temporal stacked-history candidate: disable cooldown suppression after first dev trace showed lost reachable contacts; keep contact-flip and finite-difference history features.,Prior temporal trial underperformed current improved on builtin dev seeds because jump actions were much rarer; cooldown guard was over-constraining contact attempts.,"If builtin performance remains below current improved, inspect whether contact-intercept or trajectory-recovery modes are overactive."
2026-05-26T06:37:01+00:00,SlimeVolley-v0,temporal,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,9000,9010,10,-4,1.09545,-4.5,-5,-2,0,10,0,0.0,-4.0,24520,2.23644,pass,pass,088c70f,0be12d79ab11,3,9,Revise temporal stacked-history candidate: urgent low-ball/floor/rear-wall guards now take priority over contact-flip intercept mode.,Previous temporal revision still underperformed builtin dev control; trace showed opponent-contact intercept overriding low-ball rescue on reachable low balls.,"If this revision restores builtin performance, evaluate against the archived development opponent pool; otherwise mark temporal intercept as failed for builtin."
2026-05-26T06:38:54+00:00,SlimeVolley-v0,temporal,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,9000,9010,10,-3.9,1.04403,-4,-5,-2,0,10,0,0.0,-3.9,26371,2.350289,pass,pass,088c70f,0be12d79ab11,4,10,Simplify temporal stacked-history candidate: remove broad uncertain-trajectory and upward-flip recovery overrides; keep contact-flip intercept and urgent safety guards.,Safety-priority temporal policy nearly matched but did not beat current improved on builtin dev seeds; broad recovery modes were not clearly tied to losses and added mode complexity.,Evaluate simplified temporal against development opponent pool; promote only if it improves aggregate performance without archived-opponent regressions.
2026-05-26T06:39:24+00:00,SlimeVolley-v0,improved,random,v0,random policy,evaluation-harness change,dev,9000,9010,10,4.4,0.916515,5,2,5,10,0,0,1.0,4.4,7115,0.609761,pass,pass,088c70f,0be12d79ab11,4,0,Generation-4 10-seed development opponent-pool comparison: improved vs random; no holdout seeds inspected.,Control comparison run.,Use aggregate opponent-pool deltas to decide whether temporal history is promotable or only a failed/neutral candidate.
2026-05-26T06:39:25+00:00,SlimeVolley-v0,improved,initial,v0,frozen heuristic,evaluation-harness change,dev,9000,9010,10,4.2,0.979796,4.5,2,5,10,0,0,1.0,4.2,8635,0.535759,pass,pass,088c70f,0be12d79ab11,4,0,Generation-4 10-seed development opponent-pool comparison: improved vs initial; no holdout seeds inspected.,Control comparison run.,Use aggregate opponent-pool deltas to decide whether temporal history is promotable or only a failed/neutral candidate.
2026-05-26T06:39:25+00:00,SlimeVolley-v0,improved,improved-v0,v0,archived heuristic,evaluation-harness change,dev,9000,9010,10,4.3,0.9,4.5,2,5,10,0,0,1.0,4.3,7817,0.484037,pass,pass,088c70f,0be12d79ab11,4,0,Generation-4 10-seed development opponent-pool comparison: improved vs improved-v0; no holdout seeds inspected.,Control comparison run.,Use aggregate opponent-pool deltas to decide whether temporal history is promotable or only a failed/neutral candidate.
2026-05-26T06:39:26+00:00,SlimeVolley-v0,improved,improved-v2,v2,archived heuristic,evaluation-harness change,dev,9000,9010,10,4,1,4,2,5,10,0,0,1.0,4.0,12627,0.775503,pass,pass,088c70f,0be12d79ab11,4,0,Generation-4 10-seed development opponent-pool comparison: improved vs improved-v2; no holdout seeds inspected.,Control comparison run.,Use aggregate opponent-pool deltas to decide whether temporal history is promotable or only a failed/neutral candidate.
2026-05-26T06:39:28+00:00,SlimeVolley-v0,improved,improved-v3,v3,archived heuristic,evaluation-harness change,dev,9000,9010,10,-0.7,2.14709,-1,-4,4,2,7,1,0.2,-0.7,26795,1.653855,pass,pass,088c70f,0be12d79ab11,4,0,Generation-4 10-seed development opponent-pool comparison: improved vs improved-v3; no holdout seeds inspected.,Control comparison run.,Use aggregate opponent-pool deltas to decide whether temporal history is promotable or only a failed/neutral candidate.
