timestamp,environment,policy_version,opponent_name,opponent_version,opponent_kind,change_type,split,seed_start,seed_stop_exclusive,episodes,mean,std,median,min,max,wins,losses,draws,win_rate,life_difference_mean,environment_steps,wall_clock_seconds,pass_fail,tests_pass_fail,git_commit,diff_identifier,agent_iterations,code_edits,change_summary,failure_analysis,next_hypothesis
2026-05-25T19:23:07+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,6000,6050,50,,,,,,0,0,0,,,0,0.000111,fail,pass,088c70f,ac52c515cc9a,0,0,SlimeVolley evaluation run.,SlimeVolleyDependencyError: SlimeVolley requires optional legacy dependencies: gym and slimevolleygym. Current status: ModuleNotFoundError: No module named 'gym',Compare opponent-pool performance across fixed seeds.
2026-05-25T19:24:38+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,6000,6050,50,-4.24,1.01114,-5,-5,0,0,49,1,0.0,-4.24,113541,7.194711,pass,pass,088c70f,ac52c515cc9a,0,0,SlimeVolley evaluation run.,No failure observed.,Compare opponent-pool performance across fixed seeds.
2026-05-25T20:01:53+00:00,SlimeVolley-v0,tuned,builtin,slimevolleygym-baseline-rnn,built-in baseline,scalar/config tuning,dev,6000,6050,50,-4.88,0.474974,-5,-5,-2,0,50,0,0.0,-4.88,35129,2.150871,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 1/16 against builtin; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:01:56+00:00,SlimeVolley-v0,tuned,random,v0,random policy,scalar/config tuning,dev,6000,6050,50,2.44,2.32517,3,-4,5,43,7,0,0.86,2.44,34284,2.441975,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 1/16 against random; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:01:58+00:00,SlimeVolley-v0,tuned,initial,v0,frozen heuristic,scalar/config tuning,dev,6000,6050,50,0.72,2.60031,2,-5,5,32,18,0,0.64,0.72,39853,2.543441,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 1/16 against initial; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:01+00:00,SlimeVolley-v0,tuned,improved-v0,v0,archived heuristic,scalar/config tuning,dev,6000,6050,50,0.84,2.65601,2,-5,5,32,18,0,0.64,0.84,39952,2.63873,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 1/16 against improved-v0; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:04+00:00,SlimeVolley-v0,tuned,improved-v2,v2,archived heuristic,scalar/config tuning,dev,6000,6050,50,-1.84,2.09151,-2.5,-5,3,10,40,0,0.2,-1.84,45578,2.953421,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 1/16 against improved-v2; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:06+00:00,SlimeVolley-v0,tuned,builtin,slimevolleygym-baseline-rnn,built-in baseline,scalar/config tuning,dev,6000,6050,50,-4.9,0.458258,-5,-5,-2,0,50,0,0.0,-4.9,33512,1.934011,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 2/16 against builtin; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:09+00:00,SlimeVolley-v0,tuned,random,v0,random policy,scalar/config tuning,dev,6000,6050,50,1.6,2.38328,2,-4,5,37,13,0,0.74,1.6,35440,2.535526,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 2/16 against random; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:11+00:00,SlimeVolley-v0,tuned,initial,v0,frozen heuristic,scalar/config tuning,dev,6000,6050,50,-0.1,2.66271,0,-5,5,25,25,0,0.5,-0.1,39272,2.517465,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 2/16 against initial; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:14+00:00,SlimeVolley-v0,tuned,improved-v0,v0,archived heuristic,scalar/config tuning,dev,6000,6050,50,0.16,2.60277,1,-5,5,29,21,0,0.58,0.16,40126,2.610399,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 2/16 against improved-v0; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
2026-05-25T20:02:17+00:00,SlimeVolley-v0,tuned,improved-v2,v2,archived heuristic,scalar/config tuning,dev,6000,6050,50,-2.2,2,-3,-5,3,7,43,0,0.14,-2.2,43280,2.804799,pass,pass,088c70f,67be3d785359,1,2,SlimeVolley scalar search candidate 2/16 against improved-v2; no structural policy code changed.,No failure observed.,Select scalar config on development seeds using average opponent score with mean - 0 * std per opponent.
